imo,position_dt_tm,latitude,longitude
9595321,2019-01-13 05:46:50+00,15.01445007,-61.53020096
9595321,2019-01-13 05:32:08+00,14.97054958,-61.5112648
9595321,2019-01-13 05:21:18+00,14.93801689,-61.49736786
9595321,2019-01-13 04:55:29+00,14.85980034,-61.46360016
9247455,2019-01-13 04:46:57+00,11.72945213,74.4560318
9632179,2019-01-13 04:40:51+00,40.95333481,-9.778333664
9632179,2019-01-13 04:34:58+00,40.92491531,-9.780833244
9595321,2019-01-13 04:30:06+00,14.77353287,-61.41559982
9247455,2019-01-13 04:29:57+00,11.68570328,74.49143219
9595321,2019-01-13 04:03:53+00,14.71008301,-61.32583237
9632179,2019-01-13 03:32:05+00,40.61273193,-9.791383743
9632179,2019-01-13 03:25:17+00,40.57881546,-9.792233467
9595321,2019-01-13 03:24:52+00,14.62361622,-61.21061707
9595321,2019-01-13 03:03:01+00,14.59048367,-61.13881683
9632179,2019-01-13 02:52:05+00,40.41271591,-9.795166969
9595321,2019-01-13 02:36:41+00,14.59634972,-61.0622673
9595321,2019-01-13 02:11:27+00,14.60001659,-61.06124878
9247455,2019-01-13 01:48:38+00,11.23877525,74.74899292
9632179,2019-01-13 01:41:53+00,40.05675125,-9.807366371
9595321,2019-01-13 01:41:27+00,14.60001659,-61.06124878
9632179,2019-01-13 01:11:36+00,39.90435028,-9.825266838
9595321,2019-01-13 01:11:24+00,14.60004997,-61.06129837
9595321,2019-01-13 00:41:27+00,14.60001659,-61.06126785
9632179,2019-01-13 00:19:00+00,39.63966751,-9.823233604
9632179,2019-01-13 00:12:42+00,39.60816574,-9.822649956
9595321,2019-01-13 00:11:25+00,14.60001659,-61.06124878
9595321,2019-01-13 00:05:25+00,14.60001659,-61.06126785
9632179,2019-01-13 00:02:12+00,39.55540085,-9.82199955
9632179,2019-01-12 23:57:00+00,39.52936554,-9.821566582
9632179,2019-01-12 23:46:32+00,39.4766655,-9.821233749
9632179,2019-01-12 23:41:30+00,39.452034,-9.821816444
9595321,2019-01-12 23:35:26+00,14.60003376,-61.06129837
9632179,2019-01-12 23:31:01+00,39.39883423,-9.822600365
9632179,2019-01-12 23:23:02+00,39.35941696,-9.82333374
9632179,2019-01-12 23:15:50+00,39.32315063,-9.824500084
9632179,2019-01-12 23:06:11+00,39.27550125,-9.826283455
9595321,2019-01-12 23:05:27+00,14.60003376,-61.06129837
9632179,2019-01-12 22:51:06+00,39.20163345,-9.828416824
9632179,2019-01-12 22:40:35+00,39.15036774,-9.829799652
9595321,2019-01-12 22:35:26+00,14.60004997,-61.06129837
9632179,2019-01-12 22:35:18+00,39.12466812,-9.830616951
9632179,2019-01-12 22:29:42+00,39.09698486,-9.831383705
9632179,2019-01-12 22:20:33+00,39.05329895,-9.832882881
9632179,2019-01-12 22:14:25+00,39.02271652,-9.833916664
9632179,2019-01-12 22:07:26+00,38.98871613,-9.834982872
9595321,2019-01-12 22:05:27+00,14.60004997,-61.06129837
9632179,2019-01-12 21:59:18+00,38.94929886,-9.835133553
9632179,2019-01-12 21:51:36+00,38.91149902,-9.835483551
9632179,2019-01-12 21:44:48+00,38.87848282,-9.836083412
9632179,2019-01-12 21:36:17+00,38.83618164,-9.836649895
9595321,2019-01-12 21:35:26+00,14.60004997,-61.06129837
